id,menu_item_id,ingredient_id
1,1,000
2,1,006
3,1,001
4,2,000
5,2,006
6,2,001
7,2,009
8,3,000
9,3,006
10,3,001
11,3,004
12,4,000
13,4,006
14,4,001
15,5,000
16,5,006
17,5,001
18,5,008
19,6,000
20,6,006
21,6,001
22,7,000
23,7,006
24,7,001
25,7,010
26,8,000
27,8,006
28,8,001
29,8,009
30,9,000
31,9,006
32,9,001
33,9,009
34,10,005
35,11,010
36,11,005
37,12,010
38,12,008
39,12,005
40,13,005
41,14,005
42,15,005
43,15,003
44,16,000
45,16,006
46,16,001
47,17,000
48,17,006
49,17,001
50,18,005
51,19,000
52,19,005
53,20,000
54,20,005
55,21,000
56,21,005
57,21,009
58,22,000
59,22,010
60,23,000
61,23,010
62,24,010
63,24,007
64,25,000
65,25,010
66,26,000
67,26,001
68,26,004
69,27,000
70,27,001
71,27,005
72,28,000
73,28,001
74,28,004
75,29,000
76,29,001
77,29,004
78,30,000
79,30,001
80,30,004
81,31,000
82,31,001
83,31,004
84,32,004
85,32,001
86,33,004
87,33,010
88,33,009
89,34,004
90,34,000
91,35,004
92,35,000
93,35,006
94,36,004
95,36,000
96,37,004
97,37,009
98,38,004
99,38,000
100,48,011
101,49,011
102,50,011
