id,employee_id,customer_id,status,subtotal_cents,tax_cents,total_cents,created_at
1,4,45,1,1880,118,1998,2024-08-28T00:58:42
2,10,24,1,1085,68,1153,2024-08-28T00:56:02
3,3,16,1,600,38,638,2024-08-28T00:57:15
4,5,35,1,1785,112,1897,2024-08-28T00:33:26
5,2,20,1,625,39,664,2024-08-28T00:25:58
6,9,12,1,520,32,552,2024-08-28T00:59:51
7,10,5,1,1865,117,1982,2024-08-28T01:34:22
8,3,8,1,485,30,515,2024-08-28T01:44:23
9,4,40,1,1230,77,1307,2024-08-28T01:16:28
10,9,33,1,485,30,515,2024-08-28T01:57:03
11,9,22,1,1160,72,1232,2024-08-28T01:05:07
12,2,45,1,1135,71,1206,2024-08-28T01:45:48
13,9,46,1,1200,75,1275,2024-08-28T02:21:07
14,1,50,1,625,39,664,2024-08-28T02:10:05
15,3,18,1,950,59,1009,2024-08-28T02:12:07
16,9,20,1,1045,65,1110,2024-08-28T02:36:23
17,5,37,1,600,38,638,2024-08-28T02:35:19
18,10,11,1,1090,68,1158,2024-08-28T02:02:46
19,10,39,1,1300,81,1381,2024-08-28T02:13:29
20,3,48,1,1110,69,1179,2024-08-28T03:21:12
21,6,10,1,650,41,691,2024-08-28T03:26:17
22,2,44,1,650,41,691,2024-08-28T03:53:57
23,5,50,1,465,29,494,2024-08-28T03:01:06
24,8,19,1,580,36,616,2024-08-28T03:40:07
25,8,23,1,0,0,0,2024-08-28T03:33:51
26,5,11,1,580,36,616,2024-08-28T04:23:33
27,4,20,1,0,0,0,2024-08-28T04:28:31
28,4,7,1,1160,72,1232,2024-08-28T04:17:08
29,8,50,1,1170,73,1243,2024-08-28T04:02:23
30,6,35,1,1045,65,1110,2024-08-28T04:53:39
31,7,17,1,1160,72,1232,2024-08-28T04:00:00
32,2,13,1,1785,112,1897,2024-08-28T04:07:10
33,3,19,1,1170,73,1243,2024-08-28T05:04:22
34,10,22,1,930,58,988,2024-08-28T05:00:48
35,2,17,1,2945,184,3129,2024-08-28T05:44:42
36,9,17,1,1160,72,1232,2024-08-28T05:05:03
37,8,29,1,1740,109,1849,2024-08-28T05:19:27
38,3,25,1,3620,226,3846,2024-08-28T05:23:20
39,8,3,1,1090,68,1158,2024-08-28T06:19:22
40,10,27,1,625,39,664,2024-08-28T06:22:13
41,10,12,1,600,38,638,2024-08-28T06:41:37
42,2,14,1,1715,107,1822,2024-08-28T06:06:11
43,6,25,1,1300,81,1381,2024-08-28T06:36:40
44,9,49,1,650,41,691,2024-08-28T06:15:09
45,10,40,1,1230,77,1307,2024-08-28T07:28:46
46,6,36,1,2105,132,2237,2024-08-28T07:20:27
47,7,13,1,650,41,691,2024-08-28T07:30:48
48,4,27,1,1345,84,1429,2024-08-28T07:20:03
49,8,9,1,625,39,664,2024-08-28T07:23:06
50,9,20,1,1945,122,2067,2024-08-28T07:34:20
51,8,1,1,1275,80,1355,2024-08-28T07:17:02
52,9,41,1,580,36,616,2024-08-28T07:59:26
53,2,27,1,1160,72,1232,2024-08-28T07:24:36
54,7,2,1,1160,72,1232,2024-08-28T07:42:10
55,7,13,1,1275,80,1355,2024-08-28T07:29:38
56,1,32,1,1950,122,2072,2024-08-28T07:02:16
57,2,22,1,1530,96,1626,2024-08-28T07:13:19
58,5,5,1,1040,65,1105,2024-08-28T07:16:58
59,5,50,1,650,41,691,2024-08-28T07:16:31
60,3,28,1,650,41,691,2024-08-28T07:19:49
61,7,49,1,695,43,738,2024-08-28T07:26:36
62,6,30,1,485,30,515,2024-08-28T07:31:34
63,9,32,1,1300,81,1381,2024-08-28T07:43:18
64,8,16,1,650,41,691,2024-08-28T08:19:32
65,4,36,1,950,59,1009,2024-08-28T08:28:54
66,4,4,1,1225,77,1302,2024-08-28T08:33:18
67,8,3,1,1900,119,2019,2024-08-28T08:46:17
68,9,5,1,1770,111,1881,2024-08-28T08:48:02
69,7,14,1,580,36,616,2024-08-28T08:35:22
70,3,15,1,0,0,0,2024-08-28T08:48:42
71,4,32,1,1135,71,1206,2024-08-28T08:12:58
72,3,48,1,625,39,664,2024-08-28T08:51:20
73,3,18,1,650,41,691,2024-08-28T08:52:17
74,10,37,1,695,43,738,2024-08-28T08:52:28
75,10,26,1,2850,178,3028,2024-08-28T08:50:46
76,4,49,1,1250,78,1328,2024-08-28T08:28:53
77,4,21,1,1090,68,1158,2024-08-28T08:28:30
78,3,20,1,930,58,988,2024-08-28T08:09:04
79,5,34,1,600,38,638,2024-08-28T08:12:01
80,7,21,1,580,36,616,2024-08-28T08:48:19
81,9,33,1,985,62,1047,2024-08-28T08:12:17
82,1,45,1,1230,77,1307,2024-08-28T08:59:18
83,10,33,1,1795,112,1907,2024-08-28T09:54:20
84,4,37,1,520,32,552,2024-08-28T09:28:50
85,7,24,1,650,41,691,2024-08-28T09:55:11
86,2,3,1,2410,151,2561,2024-08-28T09:56:33
87,2,36,1,1065,67,1132,2024-08-28T09:33:35
88,2,6,1,1655,103,1758,2024-08-28T09:36:42
89,8,8,1,580,36,616,2024-08-28T09:04:03
90,4,48,1,650,41,691,2024-08-28T09:16:25
91,5,15,1,1120,70,1190,2024-08-28T09:15:09
92,7,20,1,600,38,638,2024-08-28T09:20:54
93,5,13,1,625,39,664,2024-08-28T09:18:47
94,4,19,1,1225,77,1302,2024-08-28T09:21:08
95,4,3,1,1135,71,1206,2024-08-28T09:47:07
96,2,26,1,625,39,664,2024-08-28T09:41:55
97,7,18,1,1850,116,1966,2024-08-28T09:04:53
98,9,26,1,580,36,616,2024-08-28T09:00:23
99,10,26,1,1250,78,1328,2024-08-28T09:20:02
100,5,36,1,1275,80,1355,2024-08-28T09:31:55
101,10,2,1,625,39,664,2024-08-28T09:17:56
102,7,27,1,1875,117,1992,2024-08-28T10:33:34
103,5,16,1,2205,138,2343,2024-08-28T10:05:42
104,7,30,1,650,41,691,2024-08-28T10:41:17
105,3,25,1,650,41,691,2024-08-28T10:26:10
106,5,15,1,625,39,664,2024-08-28T10:12:05
107,2,2,1,0,0,0,2024-08-28T10:11:37
108,8,16,1,0,0,0,2024-08-28T10:49:44
109,9,42,1,2575,161,2736,2024-08-28T10:43:16
110,7,50,1,1180,74,1254,2024-08-28T10:27:41
111,6,45,1,1170,73,1243,2024-08-28T10:43:24
112,4,10,1,1120,70,1190,2024-08-28T10:37:45
113,2,48,1,1145,72,1217,2024-08-28T10:41:33
114,7,32,1,1205,75,1280,2024-08-28T10:12:44
115,4,13,1,0,0,0,2024-08-28T10:44:33
116,3,20,1,1110,69,1179,2024-08-28T10:00:38
117,7,32,1,600,38,638,2024-08-28T10:10:23
118,4,38,1,1065,67,1132,2024-08-28T10:21:16
119,8,48,1,1580,99,1679,2024-08-28T10:21:52
120,5,22,1,1770,111,1881,2024-08-28T10:27:13
121,3,46,1,0,0,0,2024-08-28T10:13:52
122,8,44,1,1740,109,1849,2024-08-28T10:30:58
123,4,4,1,485,30,515,2024-08-28T10:54:38
124,9,2,1,520,32,552,2024-08-28T10:01:23
125,2,13,1,485,30,515,2024-08-28T10:15:56
126,1,30,1,600,38,638,2024-08-28T10:08:54
127,10,25,1,0,0,0,2024-08-28T10:17:12
128,5,16,1,600,38,638,2024-08-28T10:10:50
129,1,4,1,1275,80,1355,2024-08-28T10:50:24
130,8,39,1,1740,109,1849,2024-08-28T10:31:23
131,3,27,1,650,41,691,2024-08-28T10:21:02
132,3,32,1,650,41,691,2024-08-28T11:38:38
133,1,45,1,695,43,738,2024-08-28T11:40:01
134,4,16,1,1300,81,1381,2024-08-28T11:21:58
135,9,31,1,2205,138,2343,2024-08-28T11:03:59
136,9,6,1,625,39,664,2024-08-28T11:36:24
137,8,40,1,1205,75,1280,2024-08-28T11:28:18
138,8,23,1,1780,111,1891,2024-08-28T11:56:29
139,8,32,1,1625,102,1727,2024-08-28T11:18:29
140,8,27,1,600,38,638,2024-08-28T11:45:28
141,4,23,1,0,0,0,2024-08-28T11:36:04
142,10,21,1,1855,116,1971,2024-08-28T11:47:44
143,4,3,1,1110,69,1179,2024-08-28T11:09:25
144,10,7,1,625,39,664,2024-08-28T11:14:19
145,8,29,1,580,36,616,2024-08-28T11:50:05
146,3,17,1,3150,197,3347,2024-08-28T11:33:53
147,10,50,1,1160,72,1232,2024-08-28T11:29:10
148,3,39,1,1230,77,1307,2024-08-28T11:23:25
149,10,35,1,1390,87,1477,2024-08-28T11:04:37
150,9,14,1,970,61,1031,2024-08-28T11:44:27
151,2,44,1,1875,117,1992,2024-08-28T11:37:31
152,4,5,1,625,39,664,2024-08-28T11:38:03
153,9,21,1,1250,78,1328,2024-08-28T11:14:29
154,4,28,1,0,0,0,2024-08-28T11:22:44
155,4,36,1,1555,97,1652,2024-08-28T11:30:11
156,5,43,1,970,61,1031,2024-08-28T11:31:50
157,8,11,1,580,36,616,2024-08-28T11:05:56
158,7,43,1,1205,75,1280,2024-08-28T11:15:21
159,5,39,1,1275,80,1355,2024-08-28T11:12:56
160,2,45,1,650,41,691,2024-08-28T11:05:50
161,2,19,1,1045,65,1110,2024-08-28T12:35:27
162,9,48,1,0,0,0,2024-08-28T12:53:16
163,1,46,1,625,39,664,2024-08-28T12:55:19
164,6,40,1,1250,78,1328,2024-08-28T12:50:32
165,7,24,1,600,38,638,2024-08-28T12:08:24
166,3,9,1,0,0,0,2024-08-28T12:19:16
167,6,40,1,2225,139,2364,2024-08-28T12:35:28
168,2,24,1,1690,106,1796,2024-08-28T12:00:12
169,4,44,1,0,0,0,2024-08-28T12:35:15
170,6,4,1,1995,125,2120,2024-08-28T12:00:18
171,7,19,1,465,29,494,2024-08-28T12:07:52
172,6,5,1,0,0,0,2024-08-28T12:39:50
173,10,49,1,1900,119,2019,2024-08-28T12:43:30
174,9,13,1,2040,128,2168,2024-08-28T12:31:58
175,1,14,1,1230,77,1307,2024-08-28T12:57:04
176,9,20,1,930,58,988,2024-08-28T12:48:16
177,2,13,1,1850,116,1966,2024-08-28T12:54:15
178,6,8,1,650,41,691,2024-08-28T12:10:21
179,6,24,1,580,36,616,2024-08-28T12:56:33
180,8,27,1,1570,98,1668,2024-08-28T12:02:47
181,9,45,1,1925,120,2045,2024-08-28T12:40:50
182,3,21,1,1090,68,1158,2024-08-28T12:20:55
183,3,29,1,1945,122,2067,2024-08-28T12:05:04
