id,order_id,menu_item_id,qty,line_total_cents
1,1,19,1,580
2,1,10,2,1300
3,2,33,1,0
4,2,7,1,600
5,2,5,1,485
6,3,7,1,600
7,4,10,2,1300
8,4,6,1,485
9,5,17,1,625
10,6,18,1,520
11,6,32,1,0
12,6,31,1,0
13,7,26,1,650
14,7,18,1,520
15,7,27,1,695
16,8,33,1,0
17,8,4,1,485
18,8,29,1,0
19,9,14,1,580
20,9,26,1,650
21,10,4,1,485
22,11,29,1,0
23,11,13,2,1160
24,12,11,1,650
25,12,5,1,485
26,13,9,2,1200
27,13,32,2,0
28,14,25,1,625
29,14,32,1,0
30,15,1,1,465
31,15,5,1,485
32,16,14,1,580
33,16,1,1,465
34,17,8,1,600
35,18,17,1,625
36,18,1,1,465
37,19,22,2,1300
38,20,25,1,625
39,20,5,1,485
40,21,24,1,650
41,21,32,1,0
42,22,22,1,650
43,23,30,1,0
44,23,2,1,465
45,24,13,1,580
46,25,28,1,0
47,26,15,1,580
48,27,29,1,0
49,28,33,1,0
50,28,15,2,1160
51,29,28,1,0
52,29,18,1,520
53,29,24,1,650
54,30,3,1,465
55,30,31,1,0
56,30,19,1,580
57,31,14,2,1160
58,32,17,1,625
59,32,14,2,1160
60,33,18,1,520
61,33,33,1,0
62,33,26,1,650
63,34,2,2,930
64,35,6,1,485
65,35,13,2,1160
66,35,11,2,1300
67,36,19,2,1160
68,37,15,1,580
69,37,27,1,695
70,37,2,1,465
71,38,19,2,1160
72,38,15,2,1160
73,38,26,2,1300
74,39,28,1,0
75,39,2,1,465
76,39,21,1,625
77,40,16,1,625
78,41,7,1,600
79,42,21,1,625
80,42,1,1,465
81,42,16,1,625
82,43,10,1,650
83,43,10,1,650
84,44,11,1,650
85,45,22,1,650
86,45,33,2,0
87,45,15,1,580
88,46,18,2,1040
89,46,14,1,580
90,46,4,1,485
91,47,26,1,650
92,48,28,1,0
93,48,27,1,695
94,48,26,1,650
95,49,25,1,625
96,50,9,1,600
97,50,27,1,695
98,50,26,1,650
99,51,16,1,625
100,51,23,1,650
101,52,19,1,580
102,53,32,1,0
103,53,15,2,1160
104,54,14,2,1160
105,55,12,1,625
106,55,22,1,650
107,55,28,2,0
108,56,10,1,650
109,56,10,1,650
110,56,23,1,650
111,57,5,1,485
112,57,2,1,465
113,57,14,1,580
114,58,18,2,1040
115,58,31,2,0
116,59,23,1,650
117,60,26,1,650
118,61,27,1,695
119,62,34,1,0
120,62,4,1,485
121,63,26,1,650
122,63,11,1,650
123,64,32,1,0
124,64,10,1,650
125,65,3,1,465
126,65,6,1,485
127,66,9,1,600
128,66,28,1,0
129,66,21,1,625
130,67,27,1,695
131,67,15,1,580
132,67,12,1,625
133,68,20,1,625
134,68,18,1,520
135,68,25,1,625
136,69,14,1,580
137,69,32,1,0
138,70,29,1,0
139,71,11,1,650
140,71,34,1,0
141,71,4,1,485
142,72,33,2,0
143,72,17,1,625
144,72,31,1,0
145,73,23,1,650
146,73,29,1,0
147,74,27,1,695
148,75,6,2,970
149,75,23,2,1300
150,75,13,1,580
151,76,12,2,1250
152,77,1,1,465
153,77,12,1,625
154,77,32,2,0
155,78,33,1,0
156,78,2,2,930
157,79,34,1,0
158,79,7,1,600
159,80,14,1,580
160,81,2,1,465
161,81,30,1,0
162,81,18,1,520
163,82,14,1,580
164,82,26,1,650
165,83,21,1,625
166,83,22,1,650
167,83,18,1,520
168,84,18,1,520
169,84,34,1,0
170,85,23,1,650
171,85,28,1,0
172,86,14,2,1160
173,86,7,1,600
174,86,23,1,650
175,87,2,1,465
176,87,34,1,0
177,87,9,1,600
178,88,18,1,520
179,88,6,1,485
180,88,22,1,650
181,89,13,1,580
182,90,10,1,650
183,91,9,1,600
184,91,18,1,520
185,92,7,1,600
186,93,12,1,625
187,94,9,1,600
188,94,21,1,625
189,94,32,1,0
